ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
10,DURANGO,2,CANELAS,12,13,324,301,14,13,219,19,13,463,33,5,4,1,0,2,3,0,1,22,10,1,4,1,12,0,31,1496,3149
10,DURANGO,3,CONETO DE COMONFORT,9,11,616,595,12,11,156,12,2,259,28,15,9,3,0,10,16,1,0,21,6,2,1,0,18,0,52,1845,3411
10,DURANGO,4,CUENCAME,37,54,2665,2622,709,212,809,111,106,4543,1329,88,97,17,7,27,47,7,3,277,83,17,188,10,486,0,374,14834,25473
10,DURANGO,5,DURANGO,329,800,71301,36423,1528,1725,28747,4093,1549,76955,4065,2000,719,674,64,499,556,156,53,5126,2904,328,739,274,26352,82,5206,272118,473938
10,DURANGO,6,SIMON BOLIVAR,15,22,1914,1657,37,83,147,15,23,484,82,42,36,3,0,20,51,0,0,42,13,6,16,2,33,0,130,4836,7751
10,DURANGO,7,GOMEZ PALACIO,206,438,26627,19818,981,876,7946,1499,854,67160,3514,626,208,187,18,241,311,45,22,2693,983,175,778,221,8342,51,2544,146720,254410
10,DURANGO,8,GUADALUPE VICTORIA,26,54,2518,2754,817,649,2498,175,63,5018,413,74,141,25,6,25,80,5,6,250,186,40,66,11,865,8,632,17325,28874
10,DURANGO,9,GUANACEVI,21,28,1479,1656,24,26,292,27,52,746,68,20,10,5,0,13,13,5,2,39,11,3,9,0,83,0,114,4697,7334
10,DURANGO,10,HIDALGO,7,10,492,506,19,5,225,12,11,476,45,22,3,2,1,9,6,1,0,38,13,1,7,1,41,0,54,1990,3319
10,DURANGO,11,INDE,16,17,804,845,25,9,97,11,9,339,30,11,7,5,0,7,13,3,1,11,8,1,6,2,51,1,89,2385,4391
10,DURANGO,12,LERDO,79,190,12605,11006,493,460,4001,588,446,25555,1069,238,111,79,9,106,145,29,10,977,389,49,266,18,3429,15,1269,63362,107982
10,DURANGO,13,MAPIMI,24,42,1911,2691,176,64,666,112,85,3694,211,68,19,14,2,19,40,4,1,285,58,11,54,1,261,1,291,10739,17958
10,DURANGO,14,MEZQUITAL,32,61,1167,7508,76,2703,1892,92,73,2054,75,23,16,4,1,9,86,11,11,45,62,7,9,6,134,6,852,16922,28358
10,DURANGO,15,NAZAS,17,20,1204,1084,58,55,414,42,36,2064,102,28,14,4,0,8,25,1,0,82,41,8,27,0,82,0,179,5558,9329
10,DURANGO,16,NOMBRE DE DIOS,19,28,1553,1475,119,155,1190,113,59,2253,169,43,25,13,0,15,20,3,0,142,72,13,26,6,340,1,236,8041,14367
10,DURANGO,17,NUEVO IDEAL,29,44,2481,1382,59,67,587,47,74,3011,174,58,34,14,2,20,16,15,1,181,78,9,42,5,400,0,270,9027,20705
10,DURANGO,18,OCAMPO,16,17,1157,849,34,29,223,13,24,1215,72,21,16,7,2,7,22,2,1,70,28,2,16,2,109,1,144,4066,6784
10,DURANGO,19,EL ORO,22,28,1223,735,43,63,331,31,39,1859,72,14,16,4,2,10,6,2,0,60,41,5,18,1,248,1,138,4962,9563
10,DURANGO,20,OTAEZ,14,16,840,414,20,15,128,55,9,473,41,13,6,7,0,2,6,3,0,17,5,1,8,1,34,1,67,2166,3765
10,DURANGO,21,PANUCO DE CORONADO,16,24,1591,1444,73,67,666,35,23,1382,86,23,15,4,3,16,16,3,1,101,55,6,9,3,228,1,164,6015,10836
10,DURANGO,22,PEÑON BLANCO,14,20,1146,1031,87,113,262,55,15,1525,204,47,38,21,2,18,52,4,1,87,34,7,38,0,146,0,161,5094,8515
10,DURANGO,23,POANAS,23,36,2467,2399,118,311,1251,138,73,3434,220,63,24,21,4,15,42,7,5,154,96,17,32,0,345,1,382,11619,19213
10,DURANGO,24,PUEBLO NUEVO,45,69,3719,3950,227,331,1317,107,125,4648,552,75,64,25,1,28,86,12,8,262,104,18,71,12,612,3,480,16837,32371
10,DURANGO,25,RODEO,19,25,1031,1204,131,60,300,23,55,2188,91,18,17,2,0,13,30,8,2,74,43,5,29,1,93,10,180,5608,9836
10,DURANGO,26,SAN BERNARDO,11,13,204,474,22,14,89,13,24,474,47,1,1,1,1,6,2,0,0,21,6,3,13,2,31,3,70,1522,2730
10,DURANGO,27,SAN DIMAS,33,42,1406,1437,69,57,490,122,39,2255,558,53,18,10,0,14,13,1,0,112,50,24,62,2,80,0,182,7054,13497
10,DURANGO,28,SAN JUAN DE GUADALUPE,12,13,394,936,671,69,101,11,4,241,86,12,33,1,1,6,14,2,0,6,8,2,5,0,15,0,61,2679,4421
10,DURANGO,29,SAN JUAN DEL RIO,23,27,1624,1308,33,51,257,24,26,1383,91,27,15,5,1,15,15,5,1,68,23,4,22,1,109,1,144,5253,9836
